Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2014-01-02,1159.969971,1161.290039,1140.0,1145.439941,1145.439941,653300,1.0
2014-01-03,1147.0,1152.689941,1131.439941,1132.680054,1132.680054,622900,-1.0
2014-01-06,1132.280029,1144.439941,1113.01001,1139.530029,1139.530029,656600,0.0
2014-01-07,1146.819946,1165.890015,1142.0,1163.069946,1163.069946,669400,-1.0
2014-01-08,1163.98999,1168.099976,1156.51001,1157.5,1157.5,508700,1.0
2014-01-09,1157.949951,1162.829956,1144.25,1153.689941,1153.689941,474800,1.0
2014-01-10,1156.410034,1156.410034,1142.439941,1148.839966,1148.839966,489700,1.0
2014-01-13,1142.569946,1163.47998,1133.640015,1139.719971,1139.719971,612800,-1.0
2014-01-14,1138.819946,1160.900024,1133.030029,1159.209961,1159.209961,624000,0.0
2014-01-15,1160.099976,1174.339966,1160.099976,1172.859985,1172.859985,576400,1.0
2014-01-16,1170.52002,1189.98999,1170.52002,1184.650024,1184.650024,786400,0.0
2014-01-17,1185.209961,1186.859985,1167.430054,1178.040039,1178.040039,610100,0.0
2014-01-21,1181.5,1206.97998,1176.5,1205.949951,1205.949951,754700,1.0
2014-01-22,1207.98999,1214.189941,1204.469971,1213.290039,1213.290039,632200,1.0
2014-01-23,1207.0,1214.969971,1196.150024,1208.859985,1208.859985,531700,0.0
2014-01-24,1195.0,1203.160034,1172.640015,1179.930054,1179.930054,867000,0.0
2014-01-27,1181.069946,1186.98999,1138.219971,1143.23999,1143.23999,1203000,0.0
2014-01-28,1154.400024,1168.640015,1150.170044,1162.530029,1162.530029,632500,0.0
2014-01-29,1150.0,1157.699951,1132.969971,1133.790039,1133.790039,684900,1.0
2014-01-30,1145.160034,1162.76001,1141.77002,1160.0,1160.0,791600,0.0
2014-01-31,1143.439941,1161.040039,1139.170044,1144.890015,1144.890015,810700,0.0
2014-02-03,1143.829956,1151.089966,1107.25,1113.48999,1113.48999,736600,0.0
2014-02-04,1117.939941,1128.829956,1107.199951,1126.119995,1126.119995,553000,0.0
